Date,EloRating,Result,Moves
02/02/23,1025,Ady13messi won on time,d2d3 d7d5 g1f3 d5d4 c2c3 b8c6 e2e4 c8g4 f1e2 g4f3 e2f3 e7e5 b1d2 g8f6 d1c2 f8e7 c3d4 c6d4 c2a4 c7c6 b2b3 e8g8 c1b2 d4c2 e1d1 c2a1 b2e5 d8d3 e5f6 e7f6 h1e1 a8d8 a4b4 d3c2 d1e2 f6c3 b4f8 g8f8 e2f1 d8d2
02/02/23,1033,Ady13messi won by checkmate,e2e4 e7e5 d2d4 e5d4 c2c3 b8c6 f1c4 d4c3 b1c3 f8b4 d1g4 g7g6 g4f3 g8f6 c1g5 b4e7 e1c1 c6e5 f3e2 e5c4 e2c4 e8g8 g1f3 d7d6 g5h6 c8g4 h6f8 g4f3 g2f3 e7f8 h2h4 f8h6 c1b1 c7c5 c3d5 f6d5 c4d5 b7b6 h4h5 h6f8 h5g6 h7g6 f3f4 a7a5 f4f5 g6f5 d5f5 b6b5 f5h5 f8g7 h5h7 g8f8 d1g1 d8f6 f2f4 f6b2
02/02/23,1053,Thekunj59 won by resignation,e2e4 e7e5 b1c3 b8c6 d2d3 f8c5 g1f3 d7d6 g2g3 c8g4 f1g2 h7h6 c1d2 g8f6 c3d5 c6d4 c2c4 f6d5 c4d5 d8f6 d1c1 d4f3 g2f3 f6f3 e1g1 g4h3
02/02/23,1043,anemo_noisee won by resignation,e2e4 e7e5 f2f4 e5f4 b1c3 g7g5 d2d4 f7f6 g1f3 f8b4 h2h4 b4c3 b2c3 b8c6 h4g5 f6g5 d4d5 c6e5 f3e5 d7d6 e5f3 c8g4 f1e2 g4f3 e2f3 g8f6 d1d4 c7c5 d4a4 f6d7 c3c4 e8g8 c1b2 d7e5 e1c1 e5f3 g2f3 g8f7 d1g1 f7g6 g1g2 h7h6 h1f1 h6h5 a4b3 h5h4 b3c3 f8g8 f1g1 h4h3 g2g5 d8g5 g1g5 g6g5 c3d2 g8h8 d2h2 a7a5 b2h8 a8h8 c1b2 b7b6 b2a3 h8h5 a3a4 g5f6 a4b5 f6e5 b5b6 e5d4 b6a5 d4c4 a2a4 c4d4 a5b5 d4e3 a4a5 e3f3 a5a6 f3e4 a6a7 e4d5 a7a8q
02/02/23,1052,Ady13messi won on time,e2e4 e7e5 b1c3 g8f6 g1f3 b8c6 d2d3 f8c5 c1g5 h7h6 g5f6 d8f6 c3d5 f6g6 d5c7 e8d8 c7a8 c6d4 f3d4 c5d4 a1b1 b7b6 f1e2 c8b7 c2c4 b7a8 e1g1 f7f5 e2f3 f5f4 g1h1 g6f6 f3g4 a8c6 f2f3 h6h5 g4f5 g7g6 f5h3 g6g5 g2g4 h5g4 h3g4 f6h6 d1d2 d4e3 d2e2 h6h4 h2h3 h4g3 b2b4 h8h3 g4h3 g3h3 e2h2 h3h2 h1h2 d7d6 b4b5 c6d7 a2a4 g5g4 h2g2 g4g3 f1h1 d8c7 h1h7 e3c5 b1h1 c5d4 h7g7 d4f2 h1h7
02/02/23,1062,darkodus won by resignation,e2e4 c7c5 g1f3 e7e6 d2d3 a7a6 b1c3 b7b5 f1e2 c8b7 a2a3 g8f6 c1g5 f8e7 e1g1 h7h6 g5f6 e7f6 b2b4 c5b4 a3b4 f6c3 a1b1 e8g8 d3d4 d8e7 d1d3 c3b4 e4e5 b8c6 c2c3 b4a5 e2d1 a5c7 d1c2 g7g6 g2g3 h6h5 g3g4 h5g4 f3d2 e7g5 d2e4 g5h4 e4f6 g8g7 f6d7 f8d8 d7f6 c6e5 d4e5 c7e5 f6e4 d8d3
02/02/23,1025,Ady13messi won on time,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d3 h7h6 f1e2 d7d6 c3d5 c8g4 c2c4 g4f3 e2f3 c6d4 e1g1 c7c6 d5f6 d8f6 b2b3 g7g5 c1b2 f8e7 b2d4 e5d4 f3g4 f6f4 g4f5 h6h5 g2g3 f4e5 a2a4 h5h4 g3g4 d6d5 c4d5 c6d5 f1e1 e7d6 g1f1 e8g8 h2h3 e5h2 f1e2 d6g3 e1f1 g3f4 d1e1 h2h3 e2d1 h3f3 e1e2 f3e2 d1e2 h4h3 f1h1 h3h2 b3b4 d5e4 d3e4 a8d8 e2d3 g8g7 f2f3 g7f6 a4a5 f6e5 b4b5 d8c8 a1b1 c8c3 d3e2 d4d3 e2d1 c3c2 a5a6 b7a6 b5a6 c2g2 b1b5 e5d4 b5d5 d4e3 d5d3 e3d3 e4e5 d3e3 d1c1 g2g1 h1g1 h2g1q c1c2 f8d8 c2c3 g1d1 c3c4 d8d4 c4c5 d1c1 c5b5 d4d8 b5b4 d8b8 b4a5
02/02/23,1071,mohmdeka_alswaf won by checkmate,e2e4 e7e5 f1c4 g8f6 d2d3 d7d6 h2h3 b8c6 a2a3 f8e7 c2c3 a7a6 c4a2 b7b5 c1g5 a6a5 d1f3 b5b4 g1e2 b4a3 b1a3 a5a4 e1g1 c8a6 e2g3 a8b8 a1b1 e8g8 g3f5 h7h6 g5h6 g7h6 f5h6 g8h7 h6f7 d8e8 f7g5 h7g7 g5e6 g7f7 e6c7 f7g7 c7e8 f8e8 f3g3 g7f8 g1h1 f6e4 d3e4 a6f1 b1f1 b8b2 g3g8
02/02/23,1062,Game drawn by repetition,e2e4 e7e5 g1f3 b8c6 b1c3 f8c5 d2d3 g8f6 f1e2 f6g4 d3d4 e5d4 f3d4 c5d4 e2g4 d7d6 g4c8 d8c8 c3d5 e8g8 c2c3 d4c5 c3c4 c8e8 d5c7 e8e4 d1e2 e4e2 e1e2 a8c8 c7d5 f8e8 e2f1 c5b4 g2g3 e8e1 f1g2 e1h1 g2h1 c8e8 h1g2 e8e2 c1e3 a7a5 d5b4 c6b4 b2b3 e2a2 a1e1 h7h6 e1d1 g7g6 d1d6 g8g7 d6d7 a2b2 d7b7 b2b3 c4c5 b3c3 b7a7 b4d5 a7a5 d5e3 f2e3 c3e3 g2f2 e3c3 f2e2 g7f6 e2d2 c3c4 d2d3 c4c1 d3d4 f6e6 a5a6 e6e7 c5c6 e7d8 d4d5 c1d1 d5c5 f7f5 a6a7 d1c1 c5d6 c1d1 d6c5 d1c1 c5b6 c1b1 b6c5 b1c1
02/02/23,1043,Ady13messi won by checkmate,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 c6d4 d1d4 d7d6 b1c3 c7c5 d4e3 g8e7 c3d5 e7d5 e4d5 f8e7 e3c3 e8g8 c1h6 e7f6 c3g3 f8e8 h6e3 g7g6 e1c1 d8b6 c2c3 a7a5 e3g5 f6g7 f1d3 a5a4 d1d2 a4a3 b2b3 b6a5 c3c4 a5c3 d2c2 c3a1 c1d2 a1h1 g3d6 h1e1
02/02/23,1054,LoTeletabi won by resignation,e2e4 c7c5 e4e5 b8c6 g1f3 g7g6 d2d3 f8g7 d1e2 e7e6 c2c3 h7h6 d3d4 c5d4 c3d4 g8e7 e2e3 e8g8 f1d3 e7f5 d3f5 e6f5 e1g1 d7d6 e5d6 d8d6 b1c3 c6d4 f3d4 d6d4 e3d4 g7d4 c1h6 f8e8 f1e1 c8e6 a1c1 d4g7 h6g7 g8g7 c3b5 e8c8 b5c7 a8b8 c7e6 f7e6 c1c8 b8c8 e1e6 c8c1
02/02/23,1039,FilthyMates won by resignation,e2e4 e7e5 f1c4 g8f6 d2d3 b8c6 g1f3 d7d6 c2c3 c8g4 h2h3 g4f3 d1f3 f8e7 c1e3 e8g8 d3d4 e5d4 c3d4 c6b4 c4b3 d6d5 e4e5 f6e4 e1g1 b4d3 b1d2 f7f5 d2e4 f5e4 f3d1 d3b2 d1c2 b2d3 f2f3 f8f5 f3e4 f5f1 a1f1 d3b4 c2b1 c7c6 e4d5 c6d5 e3d2 a7a5 d2b4 a5b4 b1d3 g8h8 d3f3 h7h6 f3d5 d8d5 b3d5 a8b8 d5b3 g7g5 d4d5 h8g7 e5e6 g7g6 f1f7 g6h5 f7e7 h5g6 d5d6
02/02/23,1046,Game drawn by agreement,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 d7d6 d4c6 b7c6 f1e2 c6c5 e1g1 g8f6 e2f3 f8e7 b1c3 c8a6 f1e1 e8g8 a2a4 f8e8 c3b5 a6b5 a4b5 d8d7
02/02/23,1039,dpk1980 won by checkmate,e2e4 e7e5 d2d3 g8f6 f2f4 b8c6 f4e5 c6e5 d3d4 e5c6 d4d5 c6e5 c1f4 d7d6 c2c4 f6e4 c4c5 e4c5 f1b5 c5d7 d1e2 f8e7 a2a4 e8g8 h2h4 e7h4 e1d1 h4f6 g1h3 d7c5 h3f2 a7a6 e2h5 c5e4 h5h7
